No,dcode,dname,month,wasteamt
1,1033,???????,2017-10,9273.45
2,1018,???????,2017-10,3953.14
3,1046,?????????,2017-10,6536.56
4,1043,????????,2017-10,4562.05
5,1030,???????,2017-10,13190.9
6,1035,??????,2017-10,6265.85
7,1036,????????,2017-10,6486.68
8,1026,??????,2017-10,9296.14
9,1002,?????,2017-10,5203.13
10,1019,????????,2017-10,4693.45
11,1048,????????,2017-10,3286.79
12,1049,???????,2017-10,4632.61
13,1015,??????,2017-10,5207.07
14,1020,??????????,2017-10,6213.54
15,1016,??????????,2017-10,2507.14
16,1006,???????,2017-10,10538.4
17,1021,???????????,2017-10,10956.2
18,1005,??????,2017-10,9626.36
19,1031,?????????,2017-10,4324.86
20,1040,?????,2017-10,9491.53
21,1029,???????,2017-10,5192.49
22,1047,?????,2017-10,7069.26
23,1050,??????,2017-10,7226.66
24,1025,???????,2017-10,5088.45
25,1004,??????,2017-10,5159.71
26,1027,???????,2017-10,6383.77
27,1007,???????,2017-10,9273.48
28,1032,??????,2017-10,9264.9
29,1008,?????????????????,2017-10,2642.59
30,1014,?????,2017-10,5296.59
31,1009,???????,2017-10,4563.04
32,1001,??????,2017-10,6805.22
33,1022,?????????,2017-10,5257
34,1010,???????,2017-10,5797.5
35,1012,???????,2017-10,5862.79
36,1037,???????,2017-10,6551.77
37,1024,???????????,2017-10,3677.89
38,1011,?????????,2017-10,8852.44
39,1038,????????,2017-10,6657.93
40,1045,??????????,2017-10,7061.8
41,1039,?????,2017-10,8715.1
42,1034,???????,2017-10,7142.6
43,1044,????????,2017-10,3884.6
44,1013,???????????,2017-10,1784.02
45,1028,????,2017-10,5646.62
46,1042,??????,2017-10,7319.78
47,1023,???????,2017-10,5533.07
48,1003,???????,2017-10,4169.56
49,1041,???????,2017-10,5644.96
50,1017,????????,2017-10,6834.21
51,1000,?????,2017-10,18217.05
52,1033,???????,2017-11,8864.92
53,1018,???????,2017-11,3741.27
54,1046,?????????,2017-11,6020.13
55,1043,????????,2017-11,4257.13
56,1030,???????,2017-11,12824.3
57,1035,??????,2017-11,6034.12
58,1036,????????,2017-11,6140.07
59,1026,??????,2017-11,8554.03
60,1002,?????,2017-11,5172.06
61,1019,????????,2017-11,4368.31
62,1048,????????,2017-11,3153.07
63,1049,???????,2017-11,4161.68
64,1015,??????,2017-11,4860.21
65,1020,??????????,2017-11,5103.47
66,1016,??????????,2017-11,2319.97
67,1006,???????,2017-11,9990.66
68,1021,???????????,2017-11,9952.36
69,1005,??????,2017-11,8959.74
70,1031,?????????,2017-11,4057.93
71,1040,?????,2017-11,8502.87
72,1029,???????,2017-11,4854.27
73,1047,?????,2017-11,6823.96
74,1050,??????,2017-11,6643.54
75,1025,???????,2017-11,4646.63
76,1004,??????,2017-11,4703.67
77,1027,???????,2017-11,5976.05
78,1007,???????,2017-11,9269.48
79,1032,??????,2017-11,8298.3
80,1008,?????????????????,2017-11,2535.52
81,1014,?????,2017-11,5052.82
82,1009,???????,2017-11,4197.33
83,1001,??????,2017-11,6223.41
84,1022,?????????,2017-11,4860.4
85,1010,???????,2017-11,5309.72
86,1012,???????,2017-11,5431.72
87,1037,???????,2017-11,6382.53
88,1024,???????????,2017-11,3530.36
89,1011,?????????,2017-11,8443.6
90,1038,????????,2017-11,6091.23
91,1045,??????????,2017-11,6937.28
92,1039,?????,2017-11,8352.22
93,1034,???????,2017-11,6758.44
94,1044,????????,2017-11,3680.13
95,1013,???????????,2017-11,1662.08
96,1028,????,2017-11,5319.93
97,1042,??????,2017-11,6860.28
98,1023,???????,2017-11,5266.14
99,1003,???????,2017-11,3861.49
100,1041,???????,2017-11,5538.57
101,1017,????????,2017-11,6577.55
102,1000,?????,2017-11,17315.44
103,1033,???????,2017-12,8808.67
104,1018,???????,2017-12,3771.21
105,1046,?????????,2017-12,6098.24
106,1043,????????,2017-12,4452.33
107,1030,???????,2017-12,12606.3
108,1035,??????,2017-12,6134.88
109,1036,????????,2017-12,6080.85
110,1026,??????,2017-12,8421.37
111,1002,?????,2017-12,5305.81
112,1019,????????,2017-12,4386.27
113,1048,????????,2017-12,2961.29
114,1049,???????,2017-12,4226.75
115,1015,??????,2017-12,4859.64
116,1020,??????????,2017-12,4910.06
117,1016,??????????,2017-12,2249
118,1006,???????,2017-12,9963.51
119,1021,???????????,2017-12,9832.96
120,1005,??????,2017-12,8888.39
121,1031,?????????,2017-12,4056.85
122,1040,?????,2017-12,8447.18
123,1029,???????,2017-12,4804.83
124,1047,?????,2017-12,6678.06
125,1050,??????,2017-12,6550.71
126,1025,???????,2017-12,4608.15
127,1004,??????,2017-12,4474.39
128,1027,???????,2017-12,5953.66
129,1007,???????,2017-12,9341.17
130,1032,??????,2017-12,8229.77
131,1008,?????????????????,2017-12,2587.59
132,1014,?????,2017-12,5043.31
133,1009,???????,2017-12,4115.57
134,1001,??????,2017-12,5980.5
135,1022,?????????,2017-12,4669.47
136,1010,???????,2017-12,5447.61
137,1012,???????,2017-12,5446.97
138,1037,???????,2017-12,6647.38
139,1024,???????????,2017-12,3533.26
140,1011,?????????,2017-12,8289.48
141,1038,????????,2017-12,6449.89
142,1045,??????????,2017-12,6933.94
143,1039,?????,2017-12,8369.47
144,1034,???????,2017-12,6648.98
145,1044,????????,2017-12,3835.02
146,1013,???????????,2017-12,1777.21
147,1028,????,2017-12,5152.63
148,1042,??????,2017-12,6752.96
149,1023,???????,2017-12,5058.98
150,1003,???????,2017-12,3841.04
151,1041,???????,2017-12,5349.55
152,1017,????????,2017-12,6580.73
153,1000,?????,2017-12,16760.77
154,1033,???????,2018-01,8952.41
155,1018,???????,2018-01,3862.31
156,1046,?????????,2018-01,6346.98
157,1043,????????,2018-01,4644.34
158,1030,???????,2018-01,12679.5
159,1035,??????,2018-01,6368.86
160,1036,????????,2018-01,6438.03
161,1026,??????,2018-01,8698.82
162,1002,?????,2018-01,5200.54
163,1019,????????,2018-01,4516.77
164,1048,????????,2018-01,3151.01
165,1049,???????,2018-01,4299.31
166,1015,??????,2018-01,5020.51
167,1020,??????????,2018-01,5030.12
168,1016,??????????,2018-01,2315.59
